brain,lung,liver,bone,kidney
0.857142857142857,1,0.785714285714286,0.428571428571429,0.642857142857143
0.785714285714286,0.785714285714286,0.714285714285714,0.857142857142857,0.5
0.0714285714285714,0.357142857142857,0.214285714285714,0.0714285714285714,0
0.0714285714285714,0.571428571428571,0,0,0
0.0714285714285714,0.714285714285714,0.642857142857143,0.5,0.214285714285714
0,0,0,0,0
0.785714285714286,1,1,1,0.785714285714286
1,1,1,1,1
1,1,1,1,1
0.142857142857143,0.642857142857143,0.928571428571429,0,0.214285714285714
0.285714285714286,0.428571428571429,0.785714285714286,0.214285714285714,0.5
0.285714285714286,0.785714285714286,0.785714285714286,0.357142857142857,0.357142857142857
0,0.214285714285714,0.285714285714286,0,0
0,0.214285714285714,0,0,0
0,0.285714285714286,0,0,0.142857142857143
0,0.0714285714285714,0,0.0714285714285714,0
0.714285714285714,0.928571428571429,1,1,0.571428571428571
0,0.642857142857143,0.857142857142857,0.285714285714286,0.142857142857143
0,0.214285714285714,0.0714285714285714,0,0.0714285714285714
0.214285714285714,0.428571428571429,0.357142857142857,0.0714285714285714,0.357142857142857
0,0,0.0714285714285714,0,0.0714285714285714
0.214285714285714,0.857142857142857,0.857142857142857,0.0714285714285714,0.428571428571429
0.5,1,0.214285714285714,0.642857142857143,0.5
0.928571428571429,1,0.785714285714286,0.5,0.785714285714286
0.5,0.714285714285714,0.714285714285714,0.571428571428571,0.5
0.214285714285714,1,0.285714285714286,0.214285714285714,0.285714285714286
0.142857142857143,0.571428571428571,0.0714285714285714,0.571428571428571,0.142857142857143
0.714285714285714,1,1,0.785714285714286,0.642857142857143
0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0.0714285714285714
0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.142857142857143
0.285714285714286,1,0.0714285714285714,0.142857142857143,0.5
0,0,0,0,0.0714285714285714
0.0714285714285714,0.357142857142857,0.5,0.214285714285714,0.142857142857143
0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.285714285714286
0.0714285714285714,0.571428571428571,0.571428571428571,0.0714285714285714,0.357142857142857
0.0714285714285714,0.285714285714286,0.642857142857143,0.0714285714285714,0.142857142857143
0.214285714285714,0.428571428571429,0.5,0.285714285714286,0.5
0.5,0.928571428571429,0.928571428571429,1,0.785714285714286
0,0,0,0,0
0,0,0,0,0
